item	classification	result	requirement	detail	evidence
0047	NOT GUARANTEED	O	DE preservation across BDOS	DE=5AA5; not guaranteed	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0048	NOT GUARANTEED	O	HL preservation across BDOS	HL=0022; not guaranteed	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0049	NOT GUARANTEED	O	Z80-only and alternate-register preservation	Alt registers not read	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0050	OUTSIDE SCOPE	-	Valid-call C becomes input E	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0051	OUTSIDE SCOPE	UNRECORDED	Observed BDOS return flags		
0052	REQUIRED	P	Function 2 character source	Operator confirmed Function 2 emitted A	followup/CONSTEST_0052_Y_v5/screens.txt
0053	REQUIRED	P	Function 2 treats '$' as ordinary data	Operator confirmed Function 2 emitted dollar sign	build/compatibility/run-20260907-220650/CONSTEST_0053_Y/rows.txt
0054	REQUIRED	P	Function 9 string address	Operator confirmed Function 9 used DE string address	build/compatibility/run-20260907-220650/CONSTEST_0054_Y/rows.txt
0055	REQUIRED	P	Function 9 '$' termination	Operator confirmed Function 9 stopped at dollar sign	build/compatibility/run-20260907-220650/CONSTEST_0055_Y/rows.txt
0056	REQUIRED	P	Function 9 terminator is not emitted	Operator confirmed terminator was not emitted	build/compatibility/run-20260907-220823/CONSTEST_0056_Y/rows.txt
0057	REQUIRED	P	Function 9 empty string	Operator confirmed empty string emitted no bytes	build/compatibility/run-20260907-220823/CONSTEST_0057_Y/rows.txt
0058	REQUIRED	P	Function 9 scans across ordinary control characters	Operator confirmed controls were scanned before terminator	build/compatibility/run-20260907-220823/CONSTEST_0058_Y/rows.txt
0059	REQUIRED	P	Function 2 uses formatted console output	Operator confirmed Function 2 formatted TAB	build/compatibility/run-20260907-221122/CONSTEST_0059_Y/rows.txt
0060	REQUIRED	P	Function 9 uses formatted console output	Operator confirmed Function 9 formatted TAB	build/compatibility/run-20260907-221122/CONSTEST_0060_Y/rows.txt
0061	REQUIRED	P	Shared formatted-output state	Operator confirmed shared formatted-output state	build/compatibility/run-20260907-221122/CONSTEST_0061_Y/rows.txt
0062	REQUIRED	P	TAB expansion	Operator confirmed eight-column TAB expansion	build/compatibility/run-20260907-221122/CONSTEST_0062_Y/rows.txt
0063	REQUIRED	P	Function 2 participates in scrolling control	Two identical paused screens before resume; confirmation reached only after X.	build/compatibility/console-pause/63/result.json
0064	REQUIRED	P	Function 9 participates in scrolling control	Two identical paused screens before resume; confirmation reached only after X.	build/compatibility/console-pause/64/result.json
0065	REQUIRED	P	Function 2 participates in active printer echo	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0066	REQUIRED	P	Function 9 participates in active printer echo	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0067	NOT GUARANTEED	UNRECORDED	Function 2 has no function-specific return value		
0068	NOT GUARANTEED	UNRECORDED	Function 9 has no function-specific return value		
0069	PROFILE REQUIRED	UNRECORDED	Exact logical-column update rules		
0070	PROFILE REQUIRED	UNRECORDED	LF resets DRI logical column		
0071	PROFILE REQUIRED	UNRECORDED	CR does not reset DRI logical column		
0072	NOT GUARANTEED	UNRECORDED	Pending-key buffering during formatted output		
0073	NOT GUARANTEED	UNRECORDED	Ctrl-C behavior after output pause		
0074	OUTSIDE SCOPE	UNRECORDED	DRI private formatted-output implementation state		
0075	REQUIRED	P	Function 6 direct-output selection	Operator confirmed E not FF selected direct output	build/compatibility/run-20260907-221122/CONSTEST_0075_Y/rows.txt
0076	REQUIRED	P	Function 6 direct-output character source	Operator confirmed Function 6 emitted E unchanged	build/compatibility/run-20260907-221122/CONSTEST_0076_Y/rows.txt
0077	REQUIRED	P	Function 6 direct output does not expand TAB	Captured screen memory contains A, byte 09h, B in three adjacent cells; no BDOS space expansion.	build/compatibility/run-20260907-224546/CONSTEST_0077/final.txt
0078	REQUIRED	P	Function 6 direct output bypasses Ctrl-S scrolling control	Inject Ctrl-S during dots; stream completes without a resume key.	build/compatibility/console-pause/78/result.json
0079	REQUIRED	P	Function 6 direct output bypasses Ctrl-P printer echo	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0080	NOT GUARANTEED	UNRECORDED	Function 6 direct output has no function-specific result		
0081	REQUIRED	P	Function 6 nonblocking-input selection	Operator confirmed E=FF selected nonblocking input	build/compatibility/run-20260907-221122/CONSTEST_0081_Y/rows.txt
0082	REQUIRED	P	Function 6 no-input result	Operator confirmed no-input result A=00	followup/CONSTEST_0082_Y_v5/screens.txt
0083	REQUIRED	P	Function 6 ready-input result	Operator confirmed ready Function 6 returned input byte	build/compatibility/run-20260907-223415/CONSTEST_0083_K_Y/rows.txt
0084	REQUIRED	P	Function 6 input is unadorned	Operator confirmed Function 6 input had no echo or editing	build/compatibility/run-20260907-223415/CONSTEST_0084_U_Y/rows.txt
0085	REQUIRED	P	Function 11 not-ready result	Operator confirmed Function 11 not-ready result A=00	build/compatibility/run-20260907-223415/CONSTEST_0085_Z_Y/rows.txt
0086	NOT GUARANTEED	UNRECORDED	Exact function 11 ready result		
0087	NOT GUARANTEED	UNRECORDED	Function 11 pending-byte retention		
0088	NOT GUARANTEED	UNRECORDED	DRI function 6 ignores retained pending byte		
0089	OUTSIDE SCOPE	UNRECORDED	DRI function 6 E=FEh behavior		
0090	OUTSIDE SCOPE	UNRECORDED	DRI private pending-byte representation		
0091	REQUIRED	P	Function 1 selector	Operator confirmed Function 1 selected console input	build/compatibility/run-20260907-223415/CONSTEST_0091_Q_Y/rows.txt
0092	REQUIRED	P	Function 1 blocking behavior	Operator confirmed Function 1 blocked until input	build/compatibility/run-20260907-223415/CONSTEST_0092_B_Y/rows.txt
0093	REQUIRED	P	Function 1 result character	Operator confirmed Function 1 returned input character	build/compatibility/run-20260907-223415/CONSTEST_0093_R_Y/rows.txt
0094	REQUIRED	P	Function 1 echoes graphic characters	Operator confirmed Function 1 echoed graphic input	build/compatibility/run-20260907-223415/CONSTEST_0094_G_Y/rows.txt
0095	REQUIRED	P	Function 1 echoes CR	Operator confirmed Function 1 echoed CR	build/compatibility/run-20260907-223415/CONSTEST_0095___Y/rows.txt
0096	REQUIRED	P	Function 1 echoes LF	Operator confirmed Function 1 echoed LF	build/compatibility/run-20260907-223415/CONSTEST_0096___Y/rows.txt
0097	REQUIRED	P	Function 1 echoes backspace	Operator confirmed Function 1 echoed backspace	build/compatibility/run-20260907-223415/CONSTEST_0097___Y/rows.txt
0098	REQUIRED	P	Function 1 TAB echo expansion	Operator confirmed Function 1 expanded TAB	build/compatibility/run-20260907-223415/CONSTEST_0098___Y/rows.txt
0099	REQUIRED	P	Function 1 ordinary controls are not echoed	Operator confirmed ordinary control was not echoed	build/compatibility/run-20260907-223415/CONSTEST_0099___Y/rows.txt
0100	REQUIRED	P	Function 1 echo uses shared formatted-console state	Operator confirmed Function 1 shared formatted state	build/compatibility/run-20260907-223415/CONSTEST_0100___Y/rows.txt
0101	REQUIRED	P	Function 1 echo participates in scrolling control	Operator confirmed Function 1 honored scrolling control	build/compatibility/run-20260907-224546/CONSTEST_0101_____X_Y/rows.txt
0102	REQUIRED	P	Function 1 echo participates in active printer echo	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0103	PROFILE REQUIRED	UNRECORDED	Function-1 Ctrl-P printer-echo state change		
0104	PROFILE REQUIRED	UNRECORDED	Function 1 consumes function-11-retained input		
0105	OUTSIDE SCOPE	UNRECORDED	DRI private function-1 implementation details		
0106	REQUIRED	P	Function 10 selector and buffer address	Operator confirmed Function 10 used DE buffer	build/compatibility/run-20260907-223415/CONSTEST_0106_AB__Y/rows.txt
0107	REQUIRED	P	Function 10 maximum byte	Operator confirmed maximum-byte capacity termination	build/compatibility/run-20260907-223415/CONSTEST_0107_Z_Q__Y/rows.txt
0108	REQUIRED	P	Function 10 returned count	Operator confirmed returned count byte	build/compatibility/run-20260907-223415/CONSTEST_0108_ABC__Y/rows.txt
0109	REQUIRED	P	Function 10 returned data location	Operator confirmed returned data at buffer+2	build/compatibility/run-20260907-223415/CONSTEST_0109_XYZ__Y/rows.txt
0110	NOT GUARANTEED	UNRECORDED	Bytes beyond function-10 returned count		
0111	REQUIRED	P	Function 10 CR termination	CR ended input; terminator excluded	build/compatibility/run-20260907-223415/CONSTEST_0111_AB__Y/rows.txt
0112	REQUIRED	P	Function 10 LF termination	Operator confirmed LF terminated and was excluded	build/compatibility/run-20260907-223415/CONSTEST_0112_AB__Y/rows.txt
0113	REQUIRED	P	Function 10 capacity termination	Buffer capacity ended input	build/compatibility/run-20260907-223415/CONSTEST_0113_Z_Y/rows.txt
0114	REQUIRED	P	Function 10 ordinary-character storage and echo	Operator confirmed ordinary input stored and echoed	build/compatibility/run-20260907-223415/CONSTEST_0114_M__Y/rows.txt
0115	REQUIRED	P	Function 10 backspace editing	Operator confirmed backspace removed prior character	build/compatibility/run-20260907-223415/CONSTEST_0115_AB_C__Y/rows.txt
0116	REQUIRED	P	Function 10 DEL editing	DEL removed preceding character	build/compatibility/run-20260907-224546/CONSTEST_0116_Y_AB_C__Y/rows.txt
0117	REQUIRED	P	Function 10 initial Ctrl-C warm restart	Initial Ctrl-C left the input call through warm restart and returned to the CCP.	build/compatibility/run-20260907-223415/CONSTEST_0117_Z___VER_/final.txt
0118	REQUIRED	P	Function 10 Ctrl-E line continuation	Operator confirmed Ctrl-E continued logical line	build/compatibility/run-20260907-223415/CONSTEST_0118_AB_CD__Y/rows.txt
0119	REQUIRED	P	Function 10 Ctrl-R redisplay	Operator confirmed Ctrl-R redisplayed retained line	build/compatibility/run-20260907-223415/CONSTEST_0119_AB_CD__Y/rows.txt
0120	REQUIRED	P	Function 10 Ctrl-U line deletion	Operator confirmed Ctrl-U discarded current line	build/compatibility/run-20260907-223415/CONSTEST_0120_AB_CD__Y/rows.txt
0121	REQUIRED	P	Function 10 Ctrl-X line deletion	Operator confirmed Ctrl-X discarded current line	build/compatibility/run-20260907-223415/CONSTEST_0121_AB_CD__Y/rows.txt
0122	REQUIRED	P	Function 10 starting-column-relative editing	Operator confirmed editing used starting column	build/compatibility/run-20260907-224546/CONSTEST_0122_AB_C__Y/rows.txt
0123	REQUIRED	P	Function 10 stores no line terminator	Operator confirmed no CR or LF was stored	build/compatibility/run-20260907-223415/CONSTEST_0123_AB__Y/rows.txt
0124	NOT GUARANTEED	UNRECORDED	Function 10 has no function-specific register result		
0125	PROFILE REQUIRED	UNRECORDED	Function 10 Ctrl-P exclusion and printer-echo toggle		
0126	PROFILE REQUIRED	UNRECORDED	Function 10 post-Ctrl-P echo state		
0127	PROFILE REQUIRED	UNRECORDED	Function 10 seven-bit input masking		
0128	PROFILE REQUIRED	UNRECORDED	Function 10 exact correction-display bytes		
0129	PROFILE REQUIRED	UNRECORDED	Function 10 noninitial Ctrl-C behavior		
0130	OUTSIDE SCOPE	UNRECORDED	DRI private function-10 editor organization		
0131	OUTSIDE SCOPE	-	DRI function-10 zero common result	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0132	REQUIRED	P	Function 13 selector	Fn 13 reset disks; chose A	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0133	REQUIRED	P	Function 13 read/write reset	Fn 13 cleared R/O vector	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0134	REQUIRED	P	Function 13 selects drive A	Fn 13 selected drive A	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0135	REQUIRED	P	Function 13 restores default DMA	Fn 13 restored DMA at 0080h	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0136	REQUIRED	P	Function 13 resets login vector	Fn 13 reset login vector	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0137	NOT GUARANTEED	O	Function 13 function-specific result	Fn13 A=00; no fixed value	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0138	REQUIRED	P	Function 14 selector	Fn 14 E=1 selected drive B	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0139	REQUIRED	P	Function 14 drive numbering	Drive numbering is zero based	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0140	REQUIRED	P	Function 14 changes current disk	Fn 14 changed current drive	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0141	REQUIRED	P	Function 14 logs selected drive	Fn 14 logged selected drive	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0142	REQUIRED	P	Login vector is cumulative	Login vector accumulated A+B	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0143	REQUIRED	F	Standard media-change read-only behavior	Logged removable B had nonzero DPB CKS; swapped healthy media, evicted old directory cache through A, and read replacement directory. Function 29 still reported writable.	build/compatibility/media-20260908-004746/screens.txt
0144	REQUIRED	P	FCB drive code zero uses current disk	FCB drive 0 used current disk	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0145	REQUIRED	P	Explicit FCB drive selection	Explicit FCB selected drive B	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0146	REQUIRED	P	Explicit FCB selection does not permanently change current disk	Explicit FCB kept current drive	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0147	REQUIRED	P	Function 24 login vector result	Fn 24 returned login vector	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0148	REQUIRED	P	Login vector bit mapping	Login bits map A=0, B=1	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0149	REQUIRED	P	Login bit meaning	Set bit means drive logged	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0150	REQUIRED	P	Function 25 current disk result	Fn 25 returned current drive	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0151	NOT GUARANTEED	O	Function 14 invalid-drive result	Invalid drive call not portable	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0152	OUTSIDE SCOPE	-	Function 13/14 synchronization of page-zero 0004h	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0153	OUTSIDE SCOPE	-	DRI private disk-state implementation	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0154	PROFILE REQUIRED	-	Unavailable-drive presentation	UNAVAILABLE-DRIVE: Run: BDOSTEST /0154	followup/BDOSTEST_ALL_v3/screens.txt
0155	REQUIRED	P	Function 13 user-number preservation	Function 13 preserved user number	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0156	REQUIRED	P	A sequential FCB occupies bytes 0-32 (33 bytes).	Prereq/Open=00; FCB/I/O state=7F	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0157	REQUIRED	P	A random-access FCB adds random-record bytes 33-35.	Prereq/Open=00; FCB/I/O state=82	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0158	REQUIRED	P	FCB byte 0 uses 0 for current default and 1-16 for explicit A-P selection.	Prereq/Open=00; FCB/I/O state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0159	REQUIRED	P	FCB bytes 1-8 contain an uppercase, high-bit-clear, blank-padded filename.	Prereq/Open=00; FCB/I/O state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0160	REQUIRED	P	FCB bytes 9-11 contain the uppercase file type.	Prereq/Open=00; FCB/I/O state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0161	REQUIRED	P	High bits of type bytes 9-11 carry the documented read-only, system, and reserved attributes.	Prereq/Open=03; FCB/I/O state=C4	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0162	REQUIRED	P	FCB byte 12 is current extent, normally caller-initialized to zero and ranging 0-31 during I/O.	Prereq/Open=00; FCB/I/O state=1F	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0163	NOT GUARANTEED	O	FCB byte 13 is reserved for system use; applications have no portable literal-content guarantee.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0164	REQUIRED	P	FCB byte 14 is reserved for system use and supplied as zero on OPEN, MAKE, and SEARCH calls.	Prereq/Open=00; FCB/I/O state=80	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0165	REQUIRED	P	FCB byte 15 holds extent record count in the range 0-128.	Open=00; RC=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0166	REQUIRED	P	FCB bytes 16-31 hold CP/M-supplied allocation state reserved for system use.	Prereq/Open=00; FCB/I/O state=BF	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0167	REQUIRED	P	FCB byte 32 holds the sequential current record 0-127 and is normally initialized by the caller.	Read returns=00,00,00; CR=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0168	REQUIRED	P	Function 15 is selected by C=0Fh and takes the FCB address in DE.	Prereq/Open=03; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0169	REQUIRED	P	Function 15 opens an existing file for the current user on the FCB-selected drive.	Current=01; explicit=00; drive A->A	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0170	REQUIRED	P	Successful function 15 returns a directory code 0-3 in A.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0171	REQUIRED	P	Function 15 returns FFh in A when no matching file exists.	Open=FF; FCB guards unchanged	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0172	REQUIRED	P	Successful open supplies directory/allocation information in the FCB for later file I/O.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0173	REQUIRED	P	Existing files must be successfully opened before read/write access.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0174	REQUIRED	P	? wildcards in open identity fields match corresponding directory characters.	Prereq/Open=02; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0175	REQUIRED	P	Wildcard open activates the first matching FCB rather than enumerating all matches.	Prereq/Open=02; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0176	REQUIRED	P	For sequential access from the beginning, the caller sets CR to zero; open need not do so.	Prereq/Open=00; FCB/I/O state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0177	REQUIRED	P	Function 16 is selected by C=10h and takes an activated FCB address in DE.	Prereq/Open=03; FCB/I/O state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0178	REQUIRED	P	Close after writes permanently records compatible new FCB directory information.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0179	REQUIRED	P	A file used only for reads need not be closed.	Prereq/Open=00; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0180	REQUIRED	P	Successful close returns a directory code 0-3 in A.	Prereq/Open=03; FCB/I/O state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0181	REQUIRED	P	Close returns FFh when the FCB filename cannot be found.	Prereq/Open=00; FCB/I/O state=FF	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0182	NOT GUARANTEED	O	FCB allocation-map representation is disk-format-dependent and has no universal application-owned encoding.	Prereq/Open=C3; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0183	NOT GUARANTEED	O	Exact FCB bytes after failed Open, except for separately documented effects, are not guaranteed. Policy resolution: The exact behavior described above is not guaranteed by generic BetterCP/M CP/M 2.2 compatibility. Portable software shall not depend on it.	Prereq/Open=FF; FCB/I/O state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0184	OUTSIDE SCOPE	UNRECORDED	DRI's high-S2 no-write/dirty flag representation is private.		
0185	OUTSIDE SCOPE	UNRECORDED	DRI's exact zero result for unnecessary close after read-only access is not required.		
0186	OUTSIDE SCOPE	UNRECORDED	DRI's internal open-copy order, search variables, and close map-merge algorithm are private.		
0187	OUTSIDE SCOPE	-	Host-tool exact-byte-count data placed in reserved S1 is not a CP/M 2.2 requirement.	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0188	REQUIRED	P	Search First call convention	Search First accepted FCB in DE	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0189	REQUIRED	P	Search First initial directory scan position	Search First began new scan	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0190	REQUIRED	P	Search First successful result code	Search success returned 0..3	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0191	REQUIRED	P	Search First unsuccessful result code	No match returned FFh	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0192	REQUIRED	P	Search First DMA record transfer	Search copied entry to DMA	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0193	REQUIRED	P	Search result entry offset	Result selected 32-byte slot	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0194	REQUIRED	P	Search transfer record layout	Search entry layout matched FCB	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
